,nama,input,neuron1,neuron2,epoch,rmse,time (s)
1,MD1,7,64,8,50,0.250664752442163,18.161709
2,MD2,30,64,8,50,0.26444022729250954,17.029278
3,MD3,365,64,8,50,0.28715961515027977,17.770414000000002
4,MD4,7,128,8,50,0.2507697613931644,18.781562
5,MD5,30,128,8,50,0.2688142048799691,18.910063
6,MD6,365,128,8,50,0.27099523013131915,20.674061
7,MD7,7,256,8,50,0.25158765709719355,27.409358
8,MD8,30,256,8,50,0.2703266798196517,29.278713
9,MD9,365,256,8,50,0.2763926140197174,35.696246
10,MD10,7,64,16,50,0.2518594062953953,18.514529
11,MD11,30,64,16,50,0.2645394468062371,18.661689000000003
12,MD12,365,64,16,50,0.28434018298158426,19.596324
13,MD13,7,128,16,50,0.2510023018639588,20.087553
14,MD14,30,128,16,50,0.27118046529283424,21.805168
15,MD15,365,128,16,50,0.2734242940785482,22.673815
16,MD16,7,256,16,50,0.25230778885743443,29.691443
17,MD17,30,256,16,50,0.2778560048698491,31.549871999999997
18,MD18,365,256,16,50,0.2713445258810505,38.762248
19,MD19,7,64,32,50,0.2521996828135418,22.650057
20,MD20,30,64,32,50,0.26676163846907125,21.443960999999998
21,MD21,365,64,32,50,0.2812189873141147,22.441313
22,MD22,7,128,32,50,0.2517250756403856,29.744424
23,MD23,30,128,32,50,0.2745561193645771,27.479912
24,MD24,365,128,32,50,0.28247374870627184,32.05381
25,MD25,7,256,32,50,0.25116225150674976,42.570214
26,MD26,30,256,32,50,0.28259888492638563,36.178964
27,MD27,365,256,32,50,0.27645606087042296,54.512221
28,MD28,7,64,8,100,0.25077362479195775,31.158034
29,MD29,30,64,8,100,0.28903771378269205,28.647254
30,MD30,365,64,8,100,0.2826160364976591,30.812563
31,MD31,7,128,8,100,0.25320544069158407,32.222753
32,MD32,30,128,8,100,0.3042406219894604,32.609729
33,MD33,365,128,8,100,0.276194751957743,36.002337
34,MD34,7,256,8,100,0.250424061487299,50.296865
35,MD35,30,256,8,100,0.31131125692577877,51.936669
36,MD36,365,256,8,100,0.2699430302010076,64.25198
37,MD37,7,64,16,100,0.25156574166871487,31.407053
38,MD38,30,64,16,100,0.2939016972118687,30.585578
39,MD39,365,64,16,100,0.2733724369218078,32.798393
40,MD40,7,128,16,100,0.252034613634025,34.535602
41,MD41,30,128,16,100,0.3154380281526783,35.897048
42,MD42,365,128,16,100,0.27147677062603087,37.81855
43,MD43,7,256,16,100,0.2495411057260397,52.609898
44,MD44,30,256,16,100,0.32277121006066856,54.703593
45,MD45,365,256,16,100,0.26565073579597737,69.700649
46,MD46,7,64,32,100,0.2507843546071959,34.799064
47,MD47,30,64,32,100,0.2984190787582921,34.110699
48,MD48,365,64,32,100,0.27552149119619607,38.12692
49,MD49,7,128,32,100,0.25064539750368076,38.567066
50,MD50,30,128,32,100,0.30479020390804695,40.009296
51,MD51,365,128,32,100,0.2749884746225843,44.751207
52,MD52,7,256,32,100,0.2496365846193216,64.049808
53,MD53,30,256,32,100,0.3345969491883992,62.438811
54,MD54,365,256,32,100,0.26974990317733033,82.570916
